# (slave) id, asymmetry, rt_m, rt_s, t1, t2, tm1, tm2, offset, delay
# (master) id, rt, t1, t2, tm1, tm2
0, -8, -42, -34, 319352, -319386, 1678302108641283026, 1678302108641283021, 0, 0
1, 0, -43, -43, 361111, -361154, 1678302109747884418, 1678302109747884405, 10, -19
2, 5, -38, -43, 323655, -323698, 1678302111717072354, 1678302111717072346, 11, -20
3, -2, -44, -42, 310080, -310122, 1678302112416305042, 1678302112416305032, 0, -20
5, -4, -46, -42, 253800, -253842, 1678302115025996738, 1678302115025996717, -2, -22
7, 6, -43, -49, 255665, -255714, 1678302115499579554, 1678302115499579529, -2, -22
8, 6, -43, -49, 253689, -253738, 1678302116378636242, 1678302116378636217, -1, -22
9, -1, -43, -42, 272344, -272386, 1678302118335049378, 1678302118335049356, 5, -22
10, 0, -43, -43, 340087, -340130, 1678302119534472018, 1678302119534471993, 0, -22
12, 0, -43, -43, 327719, -327762, 1678302121388998850, 1678302121388998822, -3, -22
13, -1, -42, -41, 257225, -257266, 1678302122711559602, 1678302122711559580, 1, -22
15, 0, -42, -42, 312048, -312090, 1678302124984349410, 1678302124984349390, 1, -22
17, 0, -42, -42, 316336, -316378, 1678302125983593122, 1678302125983593104, 1, -22
18, -1, -42, -41, 272129, -272170, 1678302126146493650, 1678302126146493630, 0, -21
19, 0, -42, -42, 323016, -323058, 1678302127718795394, 1678302127718795374, 1, -21
20, 1, -41, -42, 300888, -300930, 1678302128645190290, 1678302128645190271, 1, -21
22, -1, -43, -42, 299240, -299282, 1678302130005038594, 1678302130005038571, -7, -21
23, 0, -43, -43, 322135, -322178, 1678302131144874274, 1678302131144874250, 2, -21
24, 6, -36, -42, 326616, -326658, 1678302132240449122, 1678302132240449103, 1, -21
25, -1, -43, -42, 321624, -321666, 1678302133807738482, 1678302133807738458, -7, -21
26, -1, -44, -43, 321199, -321242, 1678302135546259746, 1678302135546259727, 2, -21
27, -2, -44, -42, 268368, -268410, 1678302137247664482, 1678302137247664467, 1, -21
28, -1, -43, -42, 327688, -327730, 1678302138271661154, 1678302138271661140, 1, -21
29, -1, -43, -42, 311744, -311786, 1678302139524513874, 1678302139524513852, 1, -20
30, 0, -43, -43, 324543, -324586, 1678302141521503218, 1678302141521503197, -6, -20
32, -1, -43, -42, 324016, -324058, 1678302142962466658, 1678302142962466638, 0, -21
33, 0, -41, -41, 255849, -255890, 1678302143481418690, 1678302143481418666, -6, -21
35, -2, -43, -41, 274481, -274522, 1678302145760926386, 1678302145760926369, -3, -21
37, 5, -44, -49, 253345, -253394, 1678302146599579586, 1678302146599579564, 3, -21
38, 1, -42, -43, 316031, -316074, 1678302147986913938, 1678302147986913918, 4, -21
39, 1, -41, -42, 303872, -303914, 1678302148746753522, 1678302148746753498, -4, -21
40, 1, -42, -43, 394887, -394930, 1678302149800939826, 1678302149800939803, 3, -21
41, 1, -43, -44, 374646, -374690, 1678302151222531394, 1678302151222531367, 2, -21
42, -1, -43, -42, 316240, -316282, 1678302152345403858, 1678302152345403838, -3, -21
44, 0, -43, -43, 376839, -376882, 1678302153841196210, 1678302153841196188, 4, -21
46, -1, -43, -42, 318728, -318770, 1678302154998268866, 1678302154998268849, 5, -21
47, 7, -35, -42, 303240, -303282, 1678302155263096882, 1678302155263096865, 3, -21
48, 0, -43, -43, 322199, -322242, 1678302156568048882, 1678302156568048856, -6, -21
50, -2, -44, -42, 321688, -321730, 1678302158812821730, 1678302158812821715, 2, -21
52, 0, -43, -43, 315751, -315794, 1678302159887790978, 1678302159887790958, 4, -21
54, -1, -43, -42, 331680, -331722, 1678302161933185570, 1678302161933185551, 1, -21
55, -3, -46, -43, 350455, -350498, 1678302162560443730, 1678302162560443712, -5, -21
56, 2, -42, -44, 401174, -401218, 1678302163490512930, 1678302163490512908, 3, -22
58, 0, -43, -43, 320671, -320714, 1678302165933114146, 1678302165933114124, -6, -22
59, 6, -43, -49, 254601, -254650, 1678302166240909538, 1678302166240909510, -3, -22
60, -1, -43, -42, 308960, -309002, 1678302167728497938, 1678302167728497918, 6, -22
62, -2, -44, -42, 312640, -312682, 1678302169821569250, 1678302169821569229, -4, -22
63, 1, -42, -43, 320983, -321026, 1678302170217536898, 1678302170217536872, 5, -22
64, -8, -43, -35, 329159, -329194, 1678302171633943794, 1678302171633943777, -2, -22
65, 2, -41, -43, 356031, -356074, 1678302173044074514, 1678302173044074493, 4, -22
67, -1, -42, -41, 252425, -252466, 1678302174791796514, 1678302174791796490, -5, -21
