# (slave) id, asymmetry, rt_m, rt_s, t1, t2, tm1, tm2, offset, delay
# (master) id, rt, t1, t2, tm1, tm2
4, 59139, 1678216463575691391, 1678185754370640231, 1678185754371168146, 1678216463576278445
5, 63379, 1678216464575908207, 1678185755433392162, 1678185755433836445, 1678216464576415869
6, 61020, 1678216465576066847, 1678185756496080206, 1678185756496541736, 1678216465576589397
7, 69895, 1678216466576251207, 1678216466551427077, 1678216466551893268, 1678216466576787293
8, 92207, 1678216467576440783, 1678216467551616913, 1678216467552113960, 1678216467577030037
9, 88369, 1678216468576483007, 1678216468553205131, 1678216468553563872, 1678216468576930117
10, 85105, 1678216469576650703, 1678216469560199781, 1678216469560704762, 1678216469577240789
11, 84584, 1678216470576696863, 1678216470575216059, 1678216470575525825, 1678216470577091213
12, 87091, 1678216471576868463, 1678216471579728298, 1678216471580204413, 1678216471577431669
13, 86283, 1678216472576913407, 1678216472579776331, 1678216472580122694, 1678216472577346053
14, 88456, 1678216473577139087, 1678216473578714140, 1678216473579127074, 1678216473577640477
15, 87625, 1678216474577176127, 1678216474577479467, 1678216474577787576, 1678216474577571861
16, 89405, 1678216475577349551, 1678216475577495285, 1678216475577999942, 1678216475577943613
17, 88804, 1678216476577376447, 1678216476577183957, 1678216476577454143, 1678216476577735437
18, 89709, 1678216477577608431, 1678216477577871710, 1678216477578329527, 1678216477578155957
19, 86949, 1678216478577649407, 1678216478577928089, 1678216478578354826, 1678216478578163093
20, 86992, 1678216479577825503, 1678216479578081392, 1678216479578526862, 1678216479578357965
21, 86786, 1678216480577878095, 1678216480578097860, 1678216480578345000, 1678216480578212021
22, 86823, 1678216481578057071, 1678216481578210504, 1678216481578712431, 1678216481578645821
23, 89514, 1678216482578095455, 1678216482578204823, 1678216482578418603, 1678216482578398749
24, 88500, 1678216483578272191, 1678216483578347473, 1678216483578800171, 1678216483578813389
25, 89630, 1678216484578323375, 1678216484578382444, 1678216484578663132, 1678216484578693693
26, 89192, 1678216485578505791, 1678216485578556550, 1678216485578960980, 1678216485578999413
27, 89052, 1678216486578621871, 1678216486578670305, 1678216486579016979, 1678216486579057597
28, 87295, 1678216487578777519, 1678216487578822745, 1678216487579298080, 1678216487579340149
29, 87265, 1678216488578866815, 1678216488578911417, 1678216488579159158, 1678216488579201821
30, 89757, 1678216489579032831, 1678216489579076914, 1678216489579524203, 1678216489579569877
31, 88513, 1678216490579168303, 1678216490579212407, 1678216490579445652, 1678216490579490061
32, 89634, 1678216491579361663, 1678216491579408487, 1678216491579719315, 1678216491579762125
33, 87878, 1678216492579501551, 1678216492579545318, 1678216492579993902, 1678216492580038013
34, 91405, 1678216493579714735, 1678216493579760405, 1678216493580221270, 1678216493580267005
35, 88218, 1678216494579846431, 1678216494579888143, 1678216494580145459, 1678216494580191965
36, 87980, 1678216495579996815, 1678216495580040257, 1678216495580506131, 1678216495580550669
37, 89308, 1678216496580184735, 1678216496580230427, 1678216496580640837, 1678216496580684453
38, 89941, 1678216497580347359, 1678216497580392700, 1678216497580827237, 1678216497580871837
39, 89670, 1678216498580506767, 1678216498580549888, 1678216498580994208, 1678216498581040757
40, 89758, 1678216499580665087, 1678216499580708350, 1678216499581203774, 1678216499581250269
41, 90117, 1678216500580811583, 1678216500580855224, 1678216500581305985, 1678216500581352461
42, 89762, 1678216501580968463, 1678216501581011302, 1678216501581291858, 1678216501581338781
43, 89140, 1678216502581101599, 1678216502581146842, 1678216502581566268, 1678216502581610165
44, 88965, 1678216503581259295, 1678216503581303086, 1678216503581746303, 1678216503581791477
45, 85883, 1678216504581388303, 1678216504581431531, 1678216504581828254, 1678216504581870909
46, 89700, 1678216505581601471, 1678216505581648402, 1678216505582103692, 1678216505582146461
47, 89549, 1678216506581733871, 1678216506581776880, 1678216506582216457, 1678216506582262997
48, 90542, 1678216507581891295, 1678216507581935990, 1678216507582453326, 1678216507582499173
49, 90597, 1678216508582093951, 1678216508582137742, 1678216508582579335, 1678216508582626141
50, 87243, 1678216509582267535, 1678216509582310753, 1678216509582696444, 1678216509582740469
51, 90980, 1678216510582452543, 1678216510582498208, 1678216510582927338, 1678216510582972653
52, 85981, 1678216511582674447, 1678216511582716182, 1678216511583138743, 1678216511583182989
53, 90069, 1678216512582810031, 1678216512582856558, 1678216512583370431, 1678216512583413973
54, 92847, 1678216513582966239, 1678216513583012627, 1678216513583491098, 1678216513583537557
55, 88183, 1678216514583100623, 1678216514583141562, 1678216514583639961, 1678216514583687205
56, 86867, 1678216515583307551, 1678216515583351987, 1678216515583788542, 1678216515583830973
57, 89332, 1678216516583492319, 1678216516583539529, 1678216516583942899, 1678216516583985021
58, 88294, 1678216517583652943, 1678216517583698413, 1678216517584198541, 1678216517584241365
59, 88405, 1678216518583845343, 1678216518583891285, 1678216518584322014, 1678216518584364477
60, 87252, 1678216519584039631, 1678216519584085173, 1678216519584502295, 1678216519584544005
61, 87668, 1678216520584182735, 1678216520584229432, 1678216520584621330, 1678216520584662301
62, 87397, 1678216521584346687, 1678216521584391762, 1678216521584820739, 1678216521584863061
63, 89004, 1678216522584496943, 1678216522584542961, 1678216522584933195, 1678216522584976181
64, 88862, 1678216523584714975, 1678216523584759006, 1678216523585280686, 1678216523585325517
65, 90700, 1678216524584858495, 1678216524584903542, 1678216524585338776, 1678216524585384429
66, 89676, 1678216525585082415, 1678216525585128177, 1678216525585531867, 1678216525585575781
67, 86526, 1678216526585279327, 1678216526585321459, 1678216526585815515, 1678216526585859909
68, 88124, 1678216527585454799, 1678216527585501021, 1678216527585940327, 1678216527585982229
69, 90398, 1678216528585582783, 1678216528585628691, 1678216528586126515, 1678216528586171005
70, 86973, 1678216529585805135, 1678216529585847873, 1678216529586240538, 1678216529586284773
