# (slave) id, asymmetry, rt_m, rt_s, t1, t2, tm1, tm2, offset, delay
# (master) id, rt, t1, t2, tm1, tm2
0, -47673, 63379, 111052, 1678185754859506406, 1678216464035881677, 1678216464036149039, 1678185754859884820, -30709128178101, -14337944
1, -49717, 61020, 110737, 1678185756279415237, 1678216465372239469, 1678216465372507087, 1678185756279793592, -30709060394716, -19591925
2, -2118, 88369, 90487, 1678216467650340642, 1678216467675105085, 1678216467675366975, 1678216467650693019, -8939932, -14337944
4, -141152, 85105, 226257, 1678216469174283074, 1678216469193573533, 1678216469193826671, 1678216469174762469, -14409130, -2041792
7, -2783, 87091, 89874, 1678216471397440048, 1678216471395455269, 1678216471395720207, 1678216471397794860, 4723084, -1863249
8, -3755, 86283, 90038, 1678216472332186237, 1678216472329411365, 1678216472329675263, 1678216472332540173, 4595715, -1732791
9, -1499, 88456, 89955, 1678216473180463530, 1678216473178462645, 1678216473178727327, 1678216473180818167, 3199887, -1624834
10, -396, 87625, 88021, 1678216473948672364, 1678216473947657301, 1678216473947944719, 1678216473949047803, 1124999, -821659
11, 1996, 88804, 86808, 1678216475684562229, 1678216475684541797, 1678216475684847727, 1678216475684954967, -114414, -78076
13, 498, 89709, 89211, 1678216477336102387, 1678216477336037005, 1678216477336366719, 1678216477336521312, 357921, -94642
14, -461, 86949, 87410, 1678216478463421050, 1678216478463230933, 1678216478463556895, 1678216478463834422, 291814, -13132
15, -1234, 86992, 88226, 1678216479086978881, 1678216479086799205, 1678216479087117039, 1678216479087384941, 216358, 39531
16, -4403, 86823, 91226, 1678216481032360854, 1678216481032259773, 1678216481032656175, 1678216481032848482, 107441, 45992
17, -29, 88500, 88529, 1678216482796280753, 1678216482796268725, 1678216482796683487, 1678216482796784044, 26196, 49086
18, 1969, 89630, 87661, 1678216484074190525, 1678216484074211621, 1678216484074544143, 1678216484074610708, 9983, 49086
19, 1497, 89052, 87555, 1678216485979945499, 1678216485979983365, 1678216485980295855, 1678216485980345544, 5, 48429
21, -3301, 87295, 90596, 1678216487353119954, 1678216487353162253, 1678216487353456415, 1678216487353504712, -299, 45525
